"POINT (-0.13225 51.528833)", "Doric Way , Somers Town"
"POINT (-0.118295 51.52728)", "Ampton Street , Clerkenwell"
"POINT (-0.107927 51.513821)", "Bouverie Street, Temple"
"POINT (-0.143613 51.523518)", "Bolsover Street, Fitzrovia"
"POINT (-0.193487 51.513735)", "Hereford Road, Bayswater"
"POINT (-0.093421 51.529154)", "Windsor Terrace, Hoxton"
"POINT (-0.083353 51.529537)", "Fanshaw Street, Hoxton"
"POINT (-0.084439 51.524696)", "Leonard Circus , Shoreditch"
"POINT (-0.129386 51.534123)", "Pancras Road, King's Cross"
"POINT (-0.18498 51.501737)", "De Vere Gardens, Kensington"
"POINT (-0.192369 51.491593)", "Penywern Road, Earl's Court"
"POINT (-0.197245 51.497387)", "Abingdon Villas, Kensington"
"POINT (-0.07813 51.526377)", "Shoreditch High Street, Shoreditch"
"POINT (-0.075578 51.52127)", "Commercial Street, Shoreditch"
"POINT (-0.083493 51.520955)", "Pindar Street, Liverpool Street"
"POINT (-0.093903 51.530991)", "Wenlock Road , Hoxton"
"POINT (-0.157183 51.52026)", "Crawford Street, Marylebone"
"POINT (-0.144165 51.510736)", "Bruton Street, Mayfair"
"POINT (-0.162298 51.522511)", "Boston Place, Marylebone"
"POINT (-0.06691 51.507131)", "Nesham Street, Wapping"
"POINT (-0.183846 51.523344)", "Warwick Avenue Station, Maida Vale"
"POINT (-0.099141 51.512484)", "Godliman Street, St. Paul's"
"POINT (-0.145904 51.507069)", "Curzon Street, Mayfair"
"POINT (-0.087459 51.528673)", "East Road, Hoxton"
"POINT (-0.104298 51.526717)", "Finsbury Library , Finsbury"
"POINT (-0.094934 51.522954)", "Roscoe Street, St. Luke's"
"POINT (-0.143495 51.509992)", "Grafton Street, Mayfair"
"POINT (-0.094475 51.521747)", "Golden Lane, Barbican"
"POINT (-0.086685 51.517075)", "Finsbury Circus, Liverpool Street"
"POINT (-0.154701 51.520583)", "Paddington Street, Marylebone"
"POINT (-0.120202 51.523346)", "Guilford Street , Bloomsbury"
"POINT (-0.079248 51.524526)", "New Inn Yard, Shoreditch"
"POINT (-0.17219 51.526448)", "Lisson Grove, St. John's Wood"
"POINT (-0.089446 51.497382)", "Great Dover Street, The Borough"
"POINT (-0.106323 51.490757)", "Cotton Garden Estate, Kennington"
"POINT (-0.089782 51.53089)", "Murray Grove , Hoxton"
"POINT (-0.124749 51.509462)", "William IV Street, Strand"
"POINT (-0.135188 51.525227)", "Gower Place , Euston"
"POINT (-0.108657 51.51795)", "Holborn Circus, Holborn"
"POINT (-0.108028 51.518825)", "Hatton Garden, Holborn"
"POINT (-0.116688 51.520596)", "Theobald's Road , Holborn"
"POINT (-0.134407 51.526236)", "Euston Road, Euston"
"POINT (-0.117069 51.53136)", "Calshot Street , King's Cross"
"POINT (-0.09885 51.515418)", "Newgate Street , St. Paul's"
"POINT (-0.10834 51.52352)", "Farringdon Lane, Clerkenwell"
"POINT (-0.089659 51.52548)", "Old Street Station, St. Luke's"
"POINT (-0.124469 51.485917)", "Vauxhall Cross, Vauxhall"
"POINT (-0.10548 51.532199)", "Torrens Street, Angel"
"POINT (-0.144083 51.525595)", "Longford Street, The Regent's Park"
"POINT (-0.124121 51.523418)", "Russell Square Station, Bloomsbury"
"POINT (-0.099489 51.524868)", "Sadlers Sports Centre, Finsbury"
"POINT (-0.102091 51.500693)", "Webber Street , Southwark"
"POINT (-0.141327 51.520253)", "Great Titchfield Street, Fitzrovia"
"POINT (-0.111257 51.514274)", "Chancery Lane, Holborn"
"POINT (-0.13151 51.509639)", "Panton Street, West End"
"POINT (-0.111778 51.515937)", "Breams Buildings, Holborn"
"POINT (-0.197524 51.511084)", "Pembridge Villas, Notting Hill"
"POINT (-0.119643 51.511756)", "Wellington Street , Strand"
"POINT (-0.111781 51.533319)", "Risinghill Street, Angel"
"POINT (-0.087587 51.514441)", "Bank of England Museum, Bank"
"POINT (-0.126021 51.508103)", "Craven Street, Strand"
"POINT (-0.150181 51.536922)", "London Zoo Car Park, The Regent's Park"
"POINT (-0.101026 51.528246)", "Goswell Road (City Uni), Finsbury"
"POINT (-0.166878 51.488023)", "Flood Street, Chelsea"
"POINT (-0.113936 51.500139)", "Lower Marsh, Waterloo"
"POINT (-0.150481 51.51217)", "Grosvenor Square, Mayfair"
"POINT (-0.142783 51.51196)", "St. George Street, Mayfair"
"POINT (-0.179854 51.501715)", "Queen's Gate, Kensington Gardens"
"POINT (-0.097122 51.529423)", "Macclesfield Rd, St Lukes"
"POINT (-0.116625 51.486965)", "Vauxhall Street, Vauxhall"
"POINT (-0.134234 51.494591)", "Greycoat Street , Westminster"
"POINT (-0.123702 51.506767)", "Northumberland Avenue, Strand"
"POINT (-0.139221 51.461388)", "Clapham Common Station, Clapham Common"
"POINT (-0.173881 51.494412)", "South Kensington Station, South Kensington"
"POINT (-0.139016 51.520994)", "Howland Street, Fitzrovia"
"POINT (-0.124826 51.516226)", "High Holborn , Covent Garden"
"POINT (-0.13544 51.497829)", "Butler Place, Westminster"
"POINT (-0.138733 51.496753)", "Howick Place, Westminster"
"POINT (-0.113426 51.503919)", "Waterloo Station 2, Waterloo"
"POINT (-0.133952 51.536264)", "Royal College Street, Camden Town"
"POINT (-0.13214 51.519572)", "Store Street, Bloomsbury"
"POINT (-0.100168 51.530344)", "City Road, Angel"
"POINT (-0.151126 51.510919)", "Millennium Hotel, Mayfair"
"POINT (-0.164207 51.517372)", "Harrowby Street, Marylebone"
"POINT (-0.15934 51.500241)", "Harriet Street, Knightsbridge"
"POINT (-0.174593 51.520205)", "Paddington Green, Paddington"
"POINT (-0.10988 51.49775)", "King Edward Walk, Waterloo"
"POINT (-0.117863 51.515208)", "Sardinia Street, Holborn"
"POINT (-0.176415 51.499806)", "Prince Consort Road, Knightsbridge"
"POINT (-0.113864 51.504027)", "Waterloo Station 1, Waterloo"
"POINT (-0.194392 51.501945)", "Kensington Town Hall, Kensington"
"POINT (-0.125674 51.491884)", "Millbank Tower, Pimlico"
"POINT (-0.113656 51.505354)", "Waterloo Bridge, South Bank"
"POINT (-0.179077 51.495592)", "Natural History Museum, South Kensington"
"POINT (-0.200838 51.514311)", "Turquoise Island, Notting Hill"
"POINT (-0.150666 51.506864)", "Stanhope Gate, Mayfair"
"POINT (-0.135777 51.51953)", "Charlotte Street, Fitzrovia"
"POINT (-0.147449 51.509351)", "Farm Street, Mayfair"
"POINT (-0.131213 51.513103)", "Frith Street, Soho"
"POINT (-0.192404 51.496481)", "Marloes Road, Kensington"
"POINT (-0.13011 51.513527)", "Moor Street, Soho"
"POINT (-0.121394 51.493699)", "Fire Brigade Pier, Vauxhall"
"POINT (-0.121723 51.510701)", "Southampton Street, Strand"
"POINT (-0.155757 51.51013)", "Upper Grosvenor Street, Mayfair"
"POINT (-0.068856 51.521776)", "Buxton Street 1, Shoreditch"
"POINT (-0.142345 51.510662)", "Clifford Street, Mayfair"
"POINT (-0.179702 51.499428)", "Imperial College, Knightsbridge"
"POINT (-0.103604 51.517334)", "Snow Hill, Farringdon"
"POINT (-0.176268 51.524826)", "Aberdeen Place, St. John's Wood"
"POINT (-0.159919 51.492462)", "Cadogan Gardens, Chelsea"
"POINT (-0.163609 51.51809)", "Shouldham Street, Marylebone"
"POINT (-0.17977 51.51348)", "Devonshire Terrace, Bayswater"
"POINT (-0.200742 51.502319)", "Holland Park, Kensington"
"POINT (-0.071653 51.522617)", "Brick Lane Market, Shoreditch"
"POINT (-0.154106 51.517703)", "George Street, Marylebone"
"POINT (-0.075375 51.528187)", "Columbia Road, Shoreditch"
"POINT (-0.171681 51.522892)", "Penfold Street, Marylebone"
"POINT (-0.158249 51.516892)", "George Place Mews, Marylebone"
"POINT (-0.1844 51.502042)", "Palace Gate, Kensington Gardens"
"POINT (-0.18267 51.494185)", "Gloucester Road Station, South Kensington"
"POINT (-0.083935 51.520009)", "Sun Street, Liverpool Street"
"POINT (-0.099828 51.493146)", "Strata, Elephant & Castle"
"POINT (-0.169774 51.519968)", "Edgware Road Station, Marylebone"
"POINT (-0.055846 51.499169)", "Rotherhithe Roundabout, Rotherhithe"
"POINT (-0.110121 51.488105)", "Cleaver Street, Kennington"
"POINT (-0.149004 51.485821)", "Chelsea Bridge, Pimlico"
"POINT (-0.105312 51.504043)", "Southwark Station 1, Southwark"
"POINT (-0.104778 51.504044)", "Southwark Station 2, Southwark"
"POINT (-0.153933 51.494561)", "Eaton Square (South), Belgravia"
"POINT (-0.149186 51.490491)", "Ebury Bridge, Pimlico"
"POINT (-0.129925 51.493072)", "Vincent Street, Pimlico"
"POINT (-0.09294 51.51397)", "Cheapside, Bank"
"POINT (-0.174554 51.499917)", "Exhibition Road, Knightsbridge"
"POINT (-0.17524 51.48902)", "South Parade, Chelsea"
"POINT (-0.122203 51.534474)", "Crinan Street, King's Cross"
